198, 24
105, 22
40, 46
197, 61
130, 98
160, 56
131, 34
132, 36
90, 44
91, 38
126, 42
159, 59
131, 35
231, 32
136, 44
166, 53
293, 116
86, 88
194, 41
82, 42
56, 172
142, 154
48, 21
157, 17
133, 31
194, 2
151, 7
32, 33
34, 36
179, 44
33, 24
155, 21
332, 25
156, 29
292, 16
208, 23
298, 39
23, 33
178, 58
37, 57
222, 96
223, 96
222, 96
223, 96
189, 132
50, 136
266, 105
72, 61
270, 26
230, 52
379, 14
174, 13
141, 22
204, 22
165, 18
182, 18
363, 19
148, 21
315, 62
19, 23
102, 5
214, 2
100, 11
272, 238
