524, 326
78, 213
427, 94
127, 145
76, 234
365, 370
61, 73
134, 96
339, 86
137, 86
336, 70
114, 55
123, 78
217, 76
44, 64
134, 81
146, 267
203, 216
126, 89
71, 104
43, 74
330, 113
105, 149
301, 276
143, 90
96, 71
152, 87
42, 80
288, 88
340, 85
173, 79
264, 80
214, 115
21, 35
170, 59
120, 63
156, 91
239, 111
134, 65
169, 58
140, 57
95, 21
19, 11
192, 222
80, 148
113, 105
83, 170
34, 50
140, 39
286, 52
258, 31
175, 29
98, 47
148, 55
182, 25
158, 25
250, 24
149, 22
166, 34
147, 22
158, 15
179, 15
165, 17
203, 20
