207, 76
61, 52
149, 80
33, 62
105, 123
119, 106
42, 61
46, 36
149, 51
283, 86
169, 45
170, 45
12, 26
149, 41
51, 105
105, 57
358, 265
23, 230
339, 33
17, 13
62, 170
4, 151
26, 25
255, 102
225, 57
45, 32
163, 29
25, 30
303, 55
413, 61
285, 21
417, 28
228, 10
155, 10
185, 10
125, 10
348, 44
29, 31
324, 20
19, 8
173, 47
173, 47
173, 48
173, 48
196, 63
62, 34
160, 62
23, 21
136, 37
247, 48
253, 29
154, 24
168, 93
91, 64
197, 17
127, 18
219, 19
161, 21
118, 37
191, 12
168, 17
175, 18
129, 13
137, 13
