364, 189
75, 155
272, 49
53, 50
116, 234
116, 202
103, 28
79, 34
189, 34
124, 38
133, 45
45, 29
76, 43
153, 41
51, 40
103, 37
317, 149
334, 188
272, 49
284, 63
457, 149
65, 81
436, 80
26, 136
320, 56
191, 52
382, 23
159, 24
185, 39
148, 31
181, 34
113, 19
130, 78
124, 96
146, 43
143, 41
18, 53
90, 70
19, 34
132, 47
162, 120
162, 120
162, 121
162, 121
210, 253
76, 147
146, 111
10, 20
237, 12
78, 11
230, 10
86, 10
97, 9
165, 9
87, 12
105, 10
119, 16
141, 14
77, 28
70, 11
48, 6
114, 6
51, 5
107, 9
