366, 167
67, 130
280, 66
43, 71
580, 273
44, 237
536, 28
40, 29
205, 57
97, 58
184, 84
33, 52
422, 116
121, 57
142, 76
68, 59
349, 179
144, 131
291, 63
287, 77
106, 135
188, 98
45, 56
80, 100
243, 67
168, 66
287, 51
159, 45
163, 111
64, 83
137, 39
99, 36
140, 143
27, 90
120, 65
186, 85
156, 108
329, 115
70, 76
263, 68
114, 22
172, 24
33, 62
88, 7
150, 119
167, 128
173, 160
67, 111
156, 13
80, 12
135, 13
74, 13
137, 10
180, 10
156, 13
164, 12
87, 26
138, 22
91, 28
86, 9
58, 14
404, 3
26, 14
420, 397
