161, 100
93, 66
105, 80
121, 91
597, 213
41, 182
552, 54
65, 55
85, 59
104, 70
69, 74
61, 22
49, 104
260, 79
26, 66
161, 58
390, 212
7, 71
341, 94
368, 152
20, 332
165, 291
7, 35
116, 68
383, 49
151, 50
380, 27
138, 24
237, 54
149, 42
198, 26
154, 29
155, 90
154, 85
159, 60
151, 32
282, 81
84, 99
341, 37
51, 61
169, 145
169, 145
169, 145
169, 145
293, 283
77, 167
231, 160
29, 66
295, 11
118, 12
292, 12
133, 12
217, 10
265, 7
186, 13
151, 13
183, 25
181, 15
168, 30
43, 33
187, 6
106, 7
176, 0
98, 11
