274, 98
64, 58
227, 92
29, 37
171, 195
131, 173
131, 33
62, 34
128, 53
1, 0
87, 29
129, 42
71, 48
147, 42
23, 40
159, 44
249, 229
37, 179
222, 53
7, 21
265, 245
259, 214
209, 35
268, 38
145, 46
14, 30
119, 22
152, 31
155, 27
386, 27
103, 36
261, 35
167, 29
139, 31
161, 33
96, 19
98, 18
76, 29
328, 72
159, 28
143, 91
144, 91
143, 92
144, 92
152, 122
83, 73
117, 116
31, 55
186, 15
180, 15
195, 17
168, 16
141, 20
182, 20
113, 15
173, 15
185, 12
173, 13
117, 13
139, 16
161, 19
176, 19
225, 18
222, 19
